"Use Default Value","Use Default Value"
"CSS Class","CSS Class"
"Social URL","Social URL"
"Font Size","Font Size"
"Line Height","Line Height"
"Add Icon","Add Icon"
Width,Width
"Alt Text","Alt Text"
Image,Image
Reset,Reset
"Are you sure you want to reset settings?","Are you sure you want to reset settings?"
Export,Export
Import,Import
"Settings have been successfully imported.","Settings have been successfully imported."
"Invalid format of the import file. Please make sure that you are using the correct file.","Invalid format of the import file. Please make sure that you are using the correct file."
"Settings have been successfully reset.","Settings have been successfully reset."
"Invalid config section provided.","Invalid config section provided."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
%1,%1
Scroll,Scroll
Fixed,Fixed
Left,Left
Right,Right
None,None
Auto,Auto
"Left Top","Left Top"
"Center Top","Center Top"
"Right Top","Right Top"
"Left Center","Left Center"
"Center Center","Center Center"
"Right Center","Right Center"
"Left Bottom","Left Bottom"
"Center Bottom","Center Bottom"
"Right Bottom","Right Bottom"
Repeat,Repeat
"No Repeat","No Repeat"
"Repeat X","Repeat X"
"Repeat Y","Repeat Y"
Contain,Contain
Cover,Cover
"Image icon","Image icon"
"Font Icon","Font Icon"
Disable,Disable
Center,Center
"Invalid config parameter.","Invalid config parameter."
"Mai adauga","Mai adauga"
Sterge,Sterge
Continua,Continua
Continue,Continue
"Theme Options","Theme Options"
General,General
"Import File","Import File"
"Select file with settings and press Import button from toolbar to perform import.","Select file with settings and press Import button from toolbar to perform import."
"Logo Image","Logo Image"
"Allowed file types: png, gif, jpg, jpeg, svg","Allowed file types: png, gif, jpg, jpeg, svg"
"Logo Image Width","Logo Image Width"
"Set Logo image width in pixels.","Set Logo image width in pixels."
"Logo Image Height","Logo Image Height"
"Set Logo image height in pixels.","Set Logo image height in pixels."
"Logo image alt text","Logo image alt text"
"Set Logo image alternative text.","Set Logo image alternative text."
"Welcome text","Welcome text"
"Set Welcome text.","Set Welcome text."
"Favicon icon","Favicon icon"
" Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"," Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Site title","Site title"
"Set title of site.","Set title of site."
"Default description","Default description"
"Set default description.","Set default description."
"Default keywords","Default keywords"
"Set default keywords.","Set default keywords."
Copyright,Copyright
"Set copyright.","Set copyright."
"Theme color settings","Theme color settings"
"Color scheme","Color scheme"
"Choose color scheme for site.","Choose color scheme for site."
"Primary color","Primary color"
"Primary color in hex format.","Primary color in hex format."
"Secondary color","Secondary color"
"Secondary color in hex format.","Secondary color in hex format."
