"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Address Information","Address Information"
Company,Company
"Phone Number","Phone Number"
"Street Address","Street Address"
Address,Address
"Street Address %1","Street Address %1"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"* Required Fields","* Required Fields"
"Sign-in Information","Sign-in Information"
Email,Email
Password,Password
"Password Strength","Password Strength"
"No Password","No Password"
"Confirm Password","Confirm Password"
"Create an Account","Create an Account"
Back,Back
"Introdu adresa de email","Introdu adresa de email"
Aboneaza-te,Aboneaza-te
Subscribe,Subscribe
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"My Cart","My Cart"
Close,Close
"Shopping Cart","Shopping Cart"
"Cosul este gol.","Cosul este gol."
item,item
items,items
"Go to Checkout","Go to Checkout"
"See Details","See Details"
"Options Details","Options Details"
Qty,Qty
Update,Update
Price,Price
"See price before order confirmation.","See price before order confirmation."
Remove,Remove
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
Next,Next
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Email Address","Email Address"
"You can create an account after checkout.","You can create an account after checkout."
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Can not finish request.Try again.","Can not finish request.Try again."
"Information",""
"Go to Checkout","Suna"
"Cart Subtotal","Estimare Cost"
